Script started on Sun 23 Jan 2022 03:23:06 PM EST
==123527== Memcheck, a memory error detector
==123527== Copyright (C) 2002-2017, and GNU GPL'd, by Julian Seward et al.
==123527== Using Valgrind-3.15.0 and LibVEX; rerun with -h for copyright info
==123527== Command: ws
==123527== 
1: Toyota C-HR,VYEEDG
4: Alfa Romeo Giulia,OVQXIQ
7: Buick Encore GX,ZIQSUF
10: Jeep Gladiator,YFQOSQ
13: Chevrolet Impala,MWPBNW
16: Volkswagen Atlas Cross Sport,ESIJDW
19: Toyota Prius Prime,AECYJV
22: Lexus RZ,QONGCT
25: Tesla Model S,MCGSVD
28: Buick Envision,UTGBZM
31: Toyota GR Supra,ASFVCE
34: Ford Edge,VWMEND
37: Rolls-Royce Cullinan,HBYRNT
40: BMW M5,UWTATN
43: Kia Niro,IQFXBZ
46: Jeep Grand Cherokee,KRPNJM
49: MAZDA MX-30,UGXRBJ
52: Volvo C40 Recharge,CGQTQT
55: Subaru Impreza,YXTFGV
58: BMW iX,BBBXZW
101: Toyota bZ4X,TPWHEP
104: Genesis G70,LMPYGG
107: Nissan GT-R,RQRMQX
110: Jeep Compass,EIEBOQ
113: Porsche Cayenne,QRTNZT
116: MINI Hardtop 4 Door,RGMSGB
119: Ford F350 Super Duty Crew Cab,EFPQTO
122: Kia K5,JWWQGR
125: Ford Ranger SuperCrew,AVRZDB
128: Mercedes-Benz Mercedes-EQ EQE,UWBEJR
131: Dodge Grand Caravan Passenger,WGJFSI
134: Hyundai Santa Cruz,HVQTID
137: Audi e-tron,GATUSY
140: Audi e-tron Sportback,YYJAXM
143: Jaguar F-PACE,TTVZXX
146: Lincoln MKZ,SSYTAU
149: Jeep Grand Cherokee 4xe,ZACGON
152: Toyota Corolla Hatchback,FHOAEB
155: Kia Optima Hybrid,ECIDOR
158: Jaguar E-PACE,ZTGFLP
201: Ford Ranger SuperCab,MKGNXJ
204: Audi RS e-tron GT,SVKEMY
207: Dodge Journey,VIJNOK
210: Subaru Legacy,NSWFQK
213: Tesla Model 3,GMJYPI
216: Honda Civic Type R,PQYQWT
219: Hyundai Ioniq Plug-in Hybrid,NQOHKA
222: Nissan Rogue,DWGXVZ
225: INFINITI QX50,TWVKND
228: Mercedes-Benz Mercedes-EQ EQS,PPNPEE
231: Mercedes-Benz GLC,YYOFBZ
234: Hyundai Kona Electric,NKDNBP
237: Audi RS 5,YIASAY
240: Mitsubishi Mirage,WUQAPU
243: Toyota Highlander,NKQMUQ
246: Volvo S90,HFPPRX
249: Rolls-Royce Ghost,RCQVYG
252: Audi Q4 e-tron,LQMTIF
255: Kia Optima Plug-in Hybrid,WQEVMI
258: Ford Maverick,QFGGET
301: Cadillac CT4,NHIPJQ
304: Ferrari Portofino,DQUCOW
307: Mercedes-Benz G-Class,WTRITF
310: Chevrolet Colorado Extended Cab,JNWVKM
313: Mercedes-Benz Mercedes-AMG GLA,KDDDJK
316: MAZDA CX-30,VIWPNE
319: Nissan Ariya,ZCEPPB
322: Honda Odyssey,RJPUPS
325: INFINITI QX55,ZMZUIW
328: Lexus LS,PHPIQI
331: BMW i3,NZHDPX
334: Honda Accord,MYOJJK
337: Kia Cadenza,RIECRF
340: Dodge Challenger,MXKLXW
343: Ford Expedition MAX,BBMUNG
346: Maserati Ghibli,CYWVEW
349: Rolls-Royce Phantom,MTGETG
352: Buick Encore,UPKYLI
355: MAZDA CX-50,BVXJMZ
358: Bentley Flying Spur,VTCGRI
401: Subaru Ascent,WIBTZS
404: Nissan NV3500 HD Cargo,HNVVMG
407: Land Rover Range Rover Evoque,GJZCKJ
410: Chevrolet Equinox EV,KOZKCE
413: Mercedes-Benz Mercedes-Maybach S-Class,WBJCPB
416: Kia Carnival,OKXQMW
419: MAZDA MX-5 Miata,CLGAZN
422: Lexus GX,QWMXLO
425: Ford F250 Super Duty Crew Cab,WBUKIN
428: Maserati Levante,LPUXYU
431: Land Rover Defender 90,JWWHGE
434: Ferrari Roma,CISIHF
437: MAZDA CX-5,FRVCYH
440: MAZDA CX-70,NPZQJC
443: Mercedes-Benz Mercedes-AMG GLC,QUCFOG
446: Ford F150 Super Cab,DGNKCI
449: Cadillac Escalade ESV,OXFFGS
452: Mercedes-Benz E-Class,YKONBH
455: Honda CR-V Hybrid,FQCSMF
458: Mercedes-Benz Mercedes-Maybach GLS,NRVZLV
501: Lexus IS,CWVIQS
504: Bentley Bentayga,GSGUJJ
507: Cadillac CT6-V,FEKANR
510: Ford F250 Super Duty Regular Cab,AFLHRD
513: Nissan Murano,BFBHQD
516: Lamborghini Aventador,JRWLCY
519: Hyundai Santa Fe Plug-in Hybrid,FQCJRD
522: Chrysler Pacifica Hybrid,ATRVPB
525: Kia Rio,LZWSMS
528: GMC Canyon Extended Cab,MSSDWL
531: Toyota Land Cruiser,YOKBXF
534: MAZDA MX-5 Miata RF,GJBLAR
537: Maserati Quattroporte,WEOXTS
540: Audi Q5,PHJYRY
543: Chevrolet Colorado Crew Cab,JYPIEB
546: Nissan Armada,UCNNHY
549: Nissan Kicks,TZFFTK
552: Mercedes-Benz Metris Passenger,GSQEVH
555: Jaguar F-TYPE,NFYMXA
558: McLaren GT,MKDWBY
601: Ram ProMaster Cargo Van,BEAVWG
604: Hyundai Ioniq Hybrid,FKFUIC
607: Mercedes-Benz C-Class,TUUFRD
610: Toyota RAV4 Hybrid,YOMHWI
613: Mercedes-Benz Mercedes-AMG GLB,VXQYWZ
616: Audi A8,FCVXVX
619: Volkswagen Jetta,ALRKML
622: Honda Ridgeline,YRDZIZ
625: MAZDA CX-9,VDGUDT
628: Honda Insight,LRUWRA
631: Mercedes-Benz Mercedes-AMG GLE,XVRKKX
634: Lexus RX,YGBLFB
637: BMW i8,TROKSA
640: Lotus Evora GT,BHBCBM
643: Acura RDX,MERQCR
646: Audi e-tron GT,ZRZQMS
649: Ford F350 Super Duty Regular Cab,OFALOP
652: Ford Bronco,JEBWYJ
655: Mercedes-Benz GLA,JFFHLE
